home_team,away_team,player_name,line,over_price,over_agency,under_price,under_agency,market_name,match,margin
Dallas Stars,Columbus Blue Jackets,Jason Robertson,0.5,2.29,Sportsbet,1.729,Pinnacle,Player Assists,Dallas Stars v Columbus Blue Jackets,-1.5050222129054713
Dallas Stars,Columbus Blue Jackets,Jason Robertson,0.5,2.28,Bet365,1.729,Pinnacle,Player Assists,Dallas Stars v Columbus Blue Jackets,-1.696549064970121
Dallas Stars,Columbus Blue Jackets,Matt Duchene,0.5,2.44,Sportsbet,1.645,Pinnacle,Player Assists,Dallas Stars v Columbus Blue Jackets,-1.7738801136080617
New York Rangers,Vegas Golden Knights,Artemi Panarin,0.5,2,Bet365,1.917,Pinnacle,Player Assists,New York Rangers v Vegas Golden Knights,-2.164840897235276
Florida Panthers,New York Islanders,Aleksander Barkov,0.5,1.87,Neds,2.05,Pinnacle,Player Assists,Florida Panthers v New York Islanders,-2.2564236337550447
Dallas Stars,Columbus Blue Jackets,Evgenii Dadonov,0.5,4.24,Pinnacle,1.27,Bet365,Player Assists,Dallas Stars v Columbus Blue Jackets,-2.3250631406923183
Florida Panthers,New York Islanders,Carter Verhaeghe,0.5,2.45,Bet365,1.625,Pinnacle,Player Assists,Florida Panthers v New York Islanders,-2.3547880690737877
Seattle Kraken,Calgary Flames,Chandler Stephenson,0.5,2.45,Bet365,1.625,Pinnacle,Player Assists,Seattle Kraken v Calgary Flames,-2.3547880690737877
Dallas Stars,Columbus Blue Jackets,Matt Duchene,0.5,2.4,Bet365,1.645,Pinnacle,Player Assists,Dallas Stars v Columbus Blue Jackets,-2.4569402228976633
Utah Hockey Club,St. Louis Blues,Robert Thomas,0.5,2.39,Sportsbet,1.645,Pinnacle,Player Assists,Utah Hockey Club v St. Louis Blues,-2.631277740331406
Florida Panthers,New York Islanders,Aleksander Barkov,0.5,1.85,Sportsbet,2.05,Pinnacle,Player Assists,Florida Panthers v New York Islanders,-2.8345418589321048
Dallas Stars,Columbus Blue Jackets,Zach Werenski,0.5,2.1,Pinnacle,1.8,Bet365,Player Assists,Dallas Stars v Columbus Blue Jackets,-3.1746031746031633
Florida Panthers,New York Islanders,Carter Verhaeghe,0.5,2.4,Neds,1.625,Pinnacle,Player Assists,Florida Panthers v New York Islanders,-3.205128205128216
Florida Panthers,New York Islanders,Carter Verhaeghe,0.5,2.39,Sportsbet,1.625,Pinnacle,Player Assists,Florida Panthers v New York Islanders,-3.3794657225619584
Florida Panthers,New York Islanders,Aleksander Barkov,0.5,1.83,Bet365,2.05,Pinnacle,Player Assists,Florida Panthers v New York Islanders,-3.4252965480474407
Utah Hockey Club,St. Louis Blues,Justin Faulk,0.5,2.88,Sportsbet,1.454,Pinnacle,Player Assists,Utah Hockey Club v St. Louis Blues,-3.498013143817813
New York Rangers,Vegas Golden Knights,Shea Theodore,0.5,2.1,Bet365,1.787,Pinnacle,Player Assists,New York Rangers v Vegas Golden Knights,-3.5787566285607753
Florida Panthers,New York Islanders,Matthew Tkachuk,0.5,2,Bet365,1.862,Pinnacle,Player Assists,Florida Panthers v New York Islanders,-3.705692803437177
New York Rangers,Vegas Golden Knights,Mika Zibanejad,0.5,2.68,Pinnacle,1.502,Pinnacle,Player Assists,New York Rangers v Vegas Golden Knights,-3.89132897430291
Dallas Stars,Columbus Blue Jackets,Jamie Benn,0.5,3.08,Sportsbet,1.4,Bet365,Player Assists,Dallas Stars v Columbus Blue Jackets,-3.8961038961038863
New York Rangers,Vegas Golden Knights,Jack Eichel,0.5,1.74,Sportsbet,2.15,Bet365,Player Assists,New York Rangers v Vegas Golden Knights,-3.9828922747928264
New York Rangers,Vegas Golden Knights,Mark Stone,0.5,1.833,Pinnacle,2.02,Pinnacle,Player Assists,New York Rangers v Vegas Golden Knights,-4.0603241993593775
Buffalo Sabres,New Jersey Devils,Jesper Bratt,0.5,1.909,Pinnacle,1.934,Pinnacle,Player Assists,Buffalo Sabres v New Jersey Devils,-4.089755000398165
Anaheim Ducks,Montreal Canadiens,Lane Hutson,0.5,2.01,Pinnacle,1.84,Pinnacle,Player Assists,Anaheim Ducks v Montreal Canadiens,-4.099069868051064
Dallas Stars,Columbus Blue Jackets,Zach Werenski,0.5,2.1,Pinnacle,1.769,Pinnacle,Player Assists,Dallas Stars v Columbus Blue Jackets,-4.1481601119814915
Buffalo Sabres,New Jersey Devils,Jack Hughes,0.5,1.854,Pinnacle,1.99,Pinnacle,Player Assists,Buffalo Sabres v New Jersey Devils,-4.1886888596163185
Colorado Avalanche,Philadelphia Flyers,Martin Necas,0.5,1.854,Pinnacle,1.99,Pinnacle,Player Assists,Colorado Avalanche v Philadelphia Flyers,-4.1886888596163185
Buffalo Sabres,New Jersey Devils,Owen Power,0.5,3.5,Pinnacle,1.322,Pinnacle,Player Assists,Buffalo Sabres v New Jersey Devils,-4.214393775664571
New York Rangers,Vegas Golden Knights,J.T. Miller,0.5,2.35,Bet365,1.621,Pinnacle,Player Assists,New York Rangers v Vegas Golden Knights,-4.243506109966266
Buffalo Sabres,New Jersey Devils,Dylan Cozens,0.5,3.7,Pinnacle,1.294,Pinnacle,Player Assists,Buffalo Sabres v New Jersey Devils,-4.3067797318183665
Buffalo Sabres,New Jersey Devils,Jack Quinn,0.5,3.58,Pinnacle,1.309,Pinnacle,Player Assists,Buffalo Sabres v New Jersey Devils,-4.327154935107624
Buffalo Sabres,New Jersey Devils,JJ Peterka,0.5,2.65,Pinnacle,1.5,Pinnacle,Player Assists,Buffalo Sabres v New Jersey Devils,-4.402515723270439
New York Rangers,Vegas Golden Knights,Jack Eichel,0.5,1.74,Sportsbet,2.13,Pinnacle,Player Assists,New York Rangers v Vegas Golden Knights,-4.419621175327837
Anaheim Ducks,Montreal Canadiens,Cole Caufield,0.5,2.49,Pinnacle,1.555,Pinnacle,Player Assists,Anaheim Ducks v Montreal Canadiens,-4.469324242306838
Anaheim Ducks,Montreal Canadiens,Juraj Slafkovsky,0.5,2.92,Pinnacle,1.423,Pinnacle,Player Assists,Anaheim Ducks v Montreal Canadiens,-4.5206442110532485
New York Rangers,Vegas Golden Knights,Tomas Hertl,0.5,2.62,Sportsbet,1.507,Pinnacle,Player Assists,New York Rangers v Vegas Golden Knights,-4.524939594867705
New York Rangers,Vegas Golden Knights,Mark Stone,0.5,1.833,Pinnacle,2,Bet365,Player Assists,New York Rangers v Vegas Golden Knights,-4.555373704309873
New York Rangers,Vegas Golden Knights,Ivan Barbashev,0.5,3.34,Pinnacle,1.34,Bet365,Player Assists,New York Rangers v Vegas Golden Knights,-4.566985432120818
Anaheim Ducks,Montreal Canadiens,Mason McTavish,0.5,3.16,Pinnacle,1.371,Pinnacle,Player Assists,Anaheim Ducks v Montreal Canadiens,-4.585029868247337
New York Rangers,Vegas Golden Knights,Vincent Trocheck,0.5,2.7,Pinnacle,1.48,Pinnacle,Player Assists,New York Rangers v Vegas Golden Knights,-4.604604604604612
Dallas Stars,Columbus Blue Jackets,Matt Duchene,0.5,2.28,Pinnacle,1.645,Pinnacle,Player Assists,Dallas Stars v Columbus Blue Jackets,-4.64992267903801
New York Rangers,Vegas Golden Knights,Alexis Lafreniere,0.5,3.28,Pinnacle,1.348,Pinnacle,Player Assists,New York Rangers v Vegas Golden Knights,-4.6717811391763675
New York Rangers,Vegas Golden Knights,Alex Pietrangelo,0.5,3.32,Pinnacle,1.341,Pinnacle,Player Assists,New York Rangers v Vegas Golden Knights,-4.691697438523668
