home_team,away_team,player_name,line,over_price,over_agency,under_price,under_agency,market_name,match,margin
Pittsburgh Penguins,Columbus Blue Jackets,Kent Johnson,0.5,1.8,Bet365,2.1,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-3.1746031746031633
Pittsburgh Penguins,Columbus Blue Jackets,Kent Johnson,0.5,1.769,Pinnacle,2.1,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-4.1481601119814915
Pittsburgh Penguins,Columbus Blue Jackets,Dmitri Voronkov,0.5,2.3,Bet365,1.645,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-4.268534425796222
Pittsburgh Penguins,Columbus Blue Jackets,Kirill Marchenko,0.5,1.8,Bet365,2.04,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-4.575163398692816
Pittsburgh Penguins,Columbus Blue Jackets,Adam Fantilli,0.5,1.8,Bet365,2,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-5.555555555555558
Pittsburgh Penguins,Columbus Blue Jackets,Rickard Rakell,0.5,1.6,Bet365,2.31,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-5.79004329004329
Pittsburgh Penguins,Columbus Blue Jackets,Bryan Rust,0.5,1.6,Bet365,2.3,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-5.978260869565233
Pittsburgh Penguins,Columbus Blue Jackets,Dmitri Voronkov,0.5,2.3,Bet365,1.6,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-5.978260869565233
Pittsburgh Penguins,Columbus Blue Jackets,Rickard Rakell,0.5,1.6,Bet365,2.3,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-5.978260869565233
Pittsburgh Penguins,Columbus Blue Jackets,Kris Letang,0.5,2.4,Bet365,1.55,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-6.182795698924726
Pittsburgh Penguins,Columbus Blue Jackets,Philip Tomasino,0.5,2.4,Bet365,1.55,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-6.182795698924726
Pittsburgh Penguins,Columbus Blue Jackets,Zach Werenski,0.5,1.55,Bet365,2.4,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-6.182795698924726
Pittsburgh Penguins,Columbus Blue Jackets,Kris Letang,0.5,2.4,Bet365,1.549,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-6.2244458790617685
Pittsburgh Penguins,Columbus Blue Jackets,Boone Jenner,0.5,2.05,Bet365,1.74,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-6.251752172694136
Pittsburgh Penguins,Columbus Blue Jackets,Bryan Rust,0.5,1.591,Pinnacle,2.3,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-6.331812095209477
Pittsburgh Penguins,Columbus Blue Jackets,Philip Tomasino,0.5,2.38,Pinnacle,1.55,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-6.532935754947133
Pittsburgh Penguins,Columbus Blue Jackets,Sidney Crosby,0.5,1.41,Bet365,2.8,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-6.636271529888549
Pittsburgh Penguins,Columbus Blue Jackets,Zach Werenski,0.5,1.55,Bet365,2.37,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-6.710221859262289
Pittsburgh Penguins,Columbus Blue Jackets,Boone Jenner,0.5,2.03,Pinnacle,1.74,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-6.732348111658459
Edmonton Oilers,Anaheim Ducks,John Klingberg,0.5,3.11,Sportsbet,1.34,Sportsbet,Player Points,Edmonton Oilers v Anaheim Ducks,-6.781206507654636
Pittsburgh Penguins,Columbus Blue Jackets,Boone Jenner,0.5,2.05,Bet365,1.724,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-6.785128176107746
Pittsburgh Penguins,Columbus Blue Jackets,Matt Grzelcyk,0.5,2.65,Bet365,1.448,Pinnacle,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-6.796622537266761
Edmonton Oilers,Anaheim Ducks,Leo Carlsson,0.5,2.61,Sportsbet,1.46,Sportsbet,Player Points,Edmonton Oilers v Anaheim Ducks,-6.807326930142232
Seattle Kraken,Minnesota Wild,Matt Boldy,0.5,1.56,Sportsbet,2.34,Sportsbet,Player Points,Seattle Kraken v Minnesota Wild,-6.8376068376068355
Seattle Kraken,Minnesota Wild,Oliver Bjorkstrand,0.5,2.34,Sportsbet,1.56,Sportsbet,Player Points,Seattle Kraken v Minnesota Wild,-6.8376068376068355
Pittsburgh Penguins,Columbus Blue Jackets,Adam Fantilli,0.5,1.8,Bet365,1.95,Bet365,Player Points,Pittsburgh Penguins v Columbus Blue Jackets,-6.837606837606858
