market_name,home_team,away_team,player_name,line,over_price,over_agency,under_price,under_agency,match,margin
Player Shots on Goal,Detroit Red Wings,Minnesota Wild,Dylan Larkin,3.5,2.29,Pinnacle,1.7,Neds,Detroit Red Wings v Minnesota Wild,-2.491651682507068
Player Shots on Goal,Detroit Red Wings,Minnesota Wild,Dylan Larkin,3.5,2.29,Pinnacle,1.68,Bet365,Detroit Red Wings v Minnesota Wild,-3.1919317945518833
Player Shots on Goal,Philadelphia Flyers,Edmonton Oilers,Scott Laughton,1.5,1.757,Pinnacle,2.1,Bet365,Philadelphia Flyers v Edmonton Oilers,-4.534243976475061
Player Shots on Goal,New Jersey Devils,Dallas Stars,Dougie Hamilton,2.5,2.1,Bet365,1.751,Pinnacle,New Jersey Devils v Dallas Stars,-4.729270348916259
Player Shots on Goal,Detroit Red Wings,Minnesota Wild,Vladimir Tarasenko,1.5,1.751,Pinnacle,2.1,Bet365,Detroit Red Wings v Minnesota Wild,-4.729270348916259
Player Shots on Goal,Florida Panthers,Seattle Kraken,Sam Reinhart,2.5,1.917,Pinnacle,1.9,Pinnacle,Florida Panthers v Seattle Kraken,-4.796419844603683
Player Shots on Goal,Buffalo Sabres,New York Rangers,Jiri Kulich,1.5,1.64,Neds,2.28,Bet365,Buffalo Sabres v New York Rangers,-4.835258878904591
Player Shots on Goal,Philadelphia Flyers,Edmonton Oilers,Darnell Nurse,1.5,1.64,Neds,2.28,Bet365,Philadelphia Flyers v Edmonton Oilers,-4.835258878904591
Player Shots on Goal,Boston Bruins,Anaheim Ducks,Jackson LaCombe,1.5,1.775,Pinnacle,2.06,Pinnacle,Boston Bruins v Anaheim Ducks,-4.881717489402426
Player Shots on Goal,Detroit Red Wings,Minnesota Wild,Lucas Raymond,2.5,2.05,Bet365,1.781,Pinnacle,Detroit Red Wings v Minnesota Wild,-4.928719135591142
Player Shots on Goal,Detroit Red Wings,Minnesota Wild,Vladimir Tarasenko,1.5,1.751,Pinnacle,2.09,Pinnacle,Detroit Red Wings v Minnesota Wild,-4.957112682021769
Player Shots on Goal,New Jersey Devils,Dallas Stars,Dougie Hamilton,2.5,2.09,Pinnacle,1.751,Pinnacle,New Jersey Devils v Dallas Stars,-4.957112682021769
Player Shots on Goal,Detroit Red Wings,Minnesota Wild,Moritz Seider,1.5,1.588,Pinnacle,2.38,Pinnacle,Detroit Red Wings v Minnesota Wild,-4.989098914124845
Player Shots on Goal,Philadelphia Flyers,Edmonton Oilers,Scott Laughton,1.5,1.757,Pinnacle,2.08,Pinnacle,Philadelphia Flyers v Edmonton Oilers,-4.992119434350517
Player Shots on Goal,Detroit Red Wings,Minnesota Wild,Alex DeBrincat,2.5,1.793,Pinnacle,2.03,Pinnacle,Detroit Red Wings v Minnesota Wild,-5.033532154327602
Player Shots on Goal,Boston Bruins,Anaheim Ducks,Jackson LaCombe,1.5,1.775,Pinnacle,2.05,Bet365,Boston Bruins v Anaheim Ducks,-5.118515973892146
Player Shots on Goal,Detroit Red Wings,Minnesota Wild,Dylan Larkin,3.5,2.29,Pinnacle,1.625,Pinnacle,Detroit Red Wings v Minnesota Wild,-5.206583809203913
Player Shots on Goal,St. Louis Blues,Winnipeg Jets,Pavel Buchnevich,1.5,1.62,Neds,2.3,Bet365,St. Louis Blues v Winnipeg Jets,-5.206655931293613
Player Shots on Goal,Buffalo Sabres,New York Rangers,Mika Zibanejad,2.5,2.2,Bet365,1.671,Pinnacle,Buffalo Sabres v New York Rangers,-5.298950002720204
Player Shots on Goal,Ottawa Senators,Montreal Canadiens,Thomas Chabot,2.5,2.45,Bet365,1.55,Neds,Ottawa Senators v Montreal Canadiens,-5.332455562870297
Player Shots on Goal,Buffalo Sabres,New York Rangers,Artemi Panarin,3.5,2.45,Bet365,1.55,Neds,Buffalo Sabres v New York Rangers,-5.332455562870297
Player Shots on Goal,Boston Bruins,Anaheim Ducks,Troy Terry,1.5,1.55,Neds,2.45,Bet365,Boston Bruins v Anaheim Ducks,-5.332455562870297
Player Shots on Goal,Vegas Golden Knights,Vancouver Canucks,Jack Eichel,2.5,1.55,Neds,2.45,Bet365,Vegas Golden Knights v Vancouver Canucks,-5.332455562870297
Player Shots on Goal,Columbus Blue Jackets,Chicago Blackhawks,Zach Werenski,3.5,2.2,Bet365,1.67,Neds,Columbus Blue Jackets v Chicago Blackhawks,-5.334784975503548
Player Shots on Goal,Vegas Golden Knights,Vancouver Canucks,Tomas Hertl,2.5,2.2,Bet365,1.67,Neds,Vegas Golden Knights v Vancouver Canucks,-5.334784975503548
Player Shots on Goal,Pittsburgh Penguins,Washington Capitals,Rickard Rakell,2.5,2.2,Bet365,1.67,Neds,Pittsburgh Penguins v Washington Capitals,-5.334784975503548
Player Shots on Goal,Buffalo Sabres,New York Rangers,Mika Zibanejad,2.5,2.2,Bet365,1.67,Neds,Buffalo Sabres v New York Rangers,-5.334784975503548
Player Shots on Goal,Buffalo Sabres,New York Rangers,Adam Fox,1.5,1.67,Neds,2.2,Bet365,Buffalo Sabres v New York Rangers,-5.334784975503548
Player Shots on Goal,Buffalo Sabres,New York Rangers,Dylan Cozens,1.5,1.67,Neds,2.2,Bet365,Buffalo Sabres v New York Rangers,-5.334784975503548
Player Shots on Goal,New Jersey Devils,Dallas Stars,Logan Stankoven,1.5,1.67,Neds,2.2,Bet365,New Jersey Devils v Dallas Stars,-5.334784975503548
Player Shots on Goal,Detroit Red Wings,Minnesota Wild,Dylan Larkin,3.5,2.15,Bet365,1.7,Neds,Detroit Red Wings v Minnesota Wild,-5.335157318741457
Player Shots on Goal,Pittsburgh Penguins,Washington Capitals,Erik Karlsson,2.5,2.15,Bet365,1.7,Neds,Pittsburgh Penguins v Washington Capitals,-5.335157318741457
