match,player_name,line,over_price,under_price,market_name,agency
DAL Stars v CLB Blue Jackets,Adam Fantilli,0.5,2.9,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Adam Fantilli,0.5,2.9,1.38,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Adam Fantilli,1.5,12,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Adam Fantilli,2.5,26,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Cole Sillinger,0.5,4,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Cole Sillinger,0.5,4,1.22,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Cole Sillinger,1.5,17,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Cole Sillinger,2.5,34,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Dmitri Voronkov,0.5,3.05,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Dmitri Voronkov,0.5,3.05,1.34,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Dmitri Voronkov,1.5,13,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Dmitri Voronkov,2.5,34,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Evgenii Dadonov,0.5,3.65,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Evgenii Dadonov,0.5,3.65,1.27,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Evgenii Dadonov,1.5,16,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Evgenii Dadonov,2.5,34,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Jamie Benn,0.5,2.85,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Jamie Benn,0.5,2.85,1.4,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Jamie Benn,1.5,11,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Jamie Benn,2.5,26,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Jason Robertson,0.5,2.28,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Jason Robertson,0.5,2.28,1.62,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Jason Robertson,1.5,7.25,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Jason Robertson,2.5,18,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Kent Johnson,0.5,3.05,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Kent Johnson,0.5,3.05,1.34,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Kent Johnson,1.5,13,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Kent Johnson,2.5,34,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Kirill Marchenko,0.5,2.6,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Kirill Marchenko,0.5,2.6,1.45,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Kirill Marchenko,1.5,10,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Kirill Marchenko,2.5,23,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Logan Stankoven,0.5,3.5,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Logan Stankoven,0.5,3.5,1.28,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Logan Stankoven,1.5,15,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Logan Stankoven,2.5,34,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Mason Marchment,0.5,3.05,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Mason Marchment,0.5,3.05,1.34,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Mason Marchment,1.5,13,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Mason Marchment,2.5,34,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Matt Duchene,0.5,2.4,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Matt Duchene,0.5,2.4,1.55,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Matt Duchene,1.5,8.5,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Matt Duchene,2.5,19,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Roope Hintz,0.5,2.85,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Roope Hintz,0.5,2.85,1.4,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Roope Hintz,1.5,11,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Roope Hintz,2.5,26,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Thomas Harley,0.5,2.4,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Thomas Harley,0.5,2.4,1.55,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Thomas Harley,1.5,8.5,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Thomas Harley,2.5,19,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Wyatt Johnston,0.5,2.28,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Wyatt Johnston,0.5,2.28,1.62,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Wyatt Johnston,1.5,7.25,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Wyatt Johnston,2.5,18,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Zach Werenski,0.5,1.95,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Zach Werenski,0.5,1.95,1.8,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Zach Werenski,1.5,6,NA,Player Assists,Bet365
DAL Stars v CLB Blue Jackets,Zach Werenski,2.5,17,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Aaron Ekblad,0.5,2.35,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Aaron Ekblad,0.5,2.35,1.57,Player Assists,Bet365
FLA Panthers v NY Islanders,Aaron Ekblad,1.5,8,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Aaron Ekblad,2.5,19,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Aleksander Barkov,0.5,1.83,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Aleksander Barkov,0.5,1.83,1.9,Player Assists,Bet365
FLA Panthers v NY Islanders,Aleksander Barkov,1.5,5.25,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Aleksander Barkov,2.5,16,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Anders Lee,0.5,3.1,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Anders Lee,0.5,3.1,1.33,Player Assists,Bet365
FLA Panthers v NY Islanders,Anders Lee,1.5,13,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Anders Lee,2.5,34,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Anton Lundell,0.5,3.05,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Anton Lundell,0.5,3.05,1.34,Player Assists,Bet365
FLA Panthers v NY Islanders,Anton Lundell,1.5,13,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Anton Lundell,2.5,34,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Bo Horvat,0.5,2.8,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Bo Horvat,0.5,2.8,1.41,Player Assists,Bet365
FLA Panthers v NY Islanders,Bo Horvat,1.5,11,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Bo Horvat,2.5,26,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Brock Nelson,0.5,2.65,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Brock Nelson,0.5,2.65,1.44,Player Assists,Bet365
FLA Panthers v NY Islanders,Brock Nelson,1.5,10,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Brock Nelson,2.5,26,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Carter Verhaeghe,0.5,2.45,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Carter Verhaeghe,0.5,2.45,1.52,Player Assists,Bet365
FLA Panthers v NY Islanders,Carter Verhaeghe,1.5,9,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Carter Verhaeghe,2.5,20,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Evan Rodrigues,0.5,3.9,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Evan Rodrigues,0.5,3.9,1.23,Player Assists,Bet365
FLA Panthers v NY Islanders,Evan Rodrigues,1.5,17,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Evan Rodrigues,2.5,34,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Gustav Forsling,0.5,3.4,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Gustav Forsling,0.5,3.4,1.29,Player Assists,Bet365
FLA Panthers v NY Islanders,Gustav Forsling,1.5,15,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Gustav Forsling,2.5,34,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Mathew Barzal,0.5,2.35,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Mathew Barzal,0.5,2.35,1.57,Player Assists,Bet365
FLA Panthers v NY Islanders,Mathew Barzal,1.5,8,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Mathew Barzal,2.5,19,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Matthew Tkachuk,0.5,2,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Matthew Tkachuk,0.5,2,1.76,Player Assists,Bet365
FLA Panthers v NY Islanders,Matthew Tkachuk,1.5,6,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Matthew Tkachuk,2.5,17,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Sam Bennett,0.5,2.9,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Sam Bennett,0.5,2.9,1.38,Player Assists,Bet365
FLA Panthers v NY Islanders,Sam Bennett,1.5,12,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Sam Bennett,2.5,26,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Sam Reinhart,0.5,2.2,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Sam Reinhart,0.5,2.2,1.66,Player Assists,Bet365
FLA Panthers v NY Islanders,Sam Reinhart,1.5,7,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Sam Reinhart,2.5,18,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Tony DeAngelo,0.5,2.9,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Tony DeAngelo,0.5,2.9,1.38,Player Assists,Bet365
FLA Panthers v NY Islanders,Tony DeAngelo,1.5,12,NA,Player Assists,Bet365
FLA Panthers v NY Islanders,Tony DeAngelo,2.5,26,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Adam Fox,0.5,2,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Adam Fox,0.5,2,1.76,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Adam Fox,1.5,6.5,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Adam Fox,2.5,17.5,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Alex Pietrangelo,0.5,3.1,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Alex Pietrangelo,0.5,3.1,1.33,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Alex Pietrangelo,1.5,13,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Alex Pietrangelo,2.5,34,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Alexis Lafreniere,0.5,3.1,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Alexis Lafreniere,0.5,3.1,1.33,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Alexis Lafreniere,1.5,13,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Alexis Lafreniere,2.5,34,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Artemi Panarin,0.5,2,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Artemi Panarin,0.5,2,1.76,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Artemi Panarin,1.5,6,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Artemi Panarin,2.5,17,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Chris Kreider,0.5,3.6,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Chris Kreider,0.5,3.6,1.27,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Chris Kreider,1.5,15,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Chris Kreider,2.5,34,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Ivan Barbashev,0.5,3.05,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Ivan Barbashev,0.5,3.05,1.34,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Ivan Barbashev,1.5,13,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,Ivan Barbashev,2.5,34,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,J.T. Miller,0.5,2.35,NA,Player Assists,Bet365
NY Rangers v VGS Golden Knights,J.T. Miller,0.5,2.35,1.57,Player Assists,Bet365
