match,market_name,player_name,line,over_price,under_price,agency
Anaheim Ducks v St. Louis Blues,Player Points,Alex Killorn,0.5,2.35,1.53,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Brayden Schenn,0.5,2.05,1.7,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Cam Fowler,0.5,2.3,1.55,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Cutter Gauthier,0.5,2.5,1.46,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Dylan Holloway,0.5,1.85,1.85,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Frank Vatrano,0.5,1.8199999999999998,1.9,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Jackson LaCombe,0.5,2.1,1.6400000000000001,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Jake Neighbours,0.5,2.1,1.65,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Jordan Kyrou,0.5,1.7,2.02,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Justin Faulk,0.5,2.6,1.44,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Leo Carlsson,0.5,2.35,1.53,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Mason McTavish,0.5,2.05,1.6800000000000002,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Oskar Sundqvist,0.5,2.7,1.42,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Pavel Buchnevich,0.5,1.73,1.98,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Robert Thomas,0.5,1.44,2.6,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Ryan Strome,0.5,2.02,1.7,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Trevor Zegras,0.5,2.1,1.65,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Troy Terry,0.5,1.78,1.92,Neds
Anaheim Ducks v St. Louis Blues,Player Points,Zack Bolduc,0.5,2.5,1.48,Neds
Edmonton Oilers v Dallas Stars,Player Points,Connor McDavid,1.5,1.98,1.73,Neds
Edmonton Oilers v Dallas Stars,Player Points,Darnell Nurse,0.5,2.75,1.4,Neds
Edmonton Oilers v Dallas Stars,Player Points,Evan Bouchard,0.5,1.5699999999999998,2.25,Neds
Edmonton Oilers v Dallas Stars,Player Points,Jamie Benn,0.5,2.4,1.5,Neds
Edmonton Oilers v Dallas Stars,Player Points,Jason Robertson,0.5,1.5699999999999998,2.25,Neds
Edmonton Oilers v Dallas Stars,Player Points,Leon Draisaitl,1.5,2.15,1.62,Neds
Edmonton Oilers v Dallas Stars,Player Points,Mason Marchment,0.5,2.55,1.45,Neds
Edmonton Oilers v Dallas Stars,Player Points,Matt Duchene,0.5,1.83,1.88,Neds
Edmonton Oilers v Dallas Stars,Player Points,Mikael Granlund,0.5,2.15,1.62,Neds
Edmonton Oilers v Dallas Stars,Player Points,Mikko Rantanen,0.5,1.5,2.45,Neds
Edmonton Oilers v Dallas Stars,Player Points,Roope Hintz,0.5,1.7,2.02,Neds
Edmonton Oilers v Dallas Stars,Player Points,Ryan Nugent-Hopkins,0.5,1.73,1.98,Neds
Edmonton Oilers v Dallas Stars,Player Points,Thomas Harley,0.5,1.98,1.73,Neds
Edmonton Oilers v Dallas Stars,Player Points,Viktor Arvidsson,0.5,2.5,1.48,Neds
Edmonton Oilers v Dallas Stars,Player Points,Zach Hyman,0.5,1.77,1.94,Neds
Florida Panthers v Buffalo Sabres,Player Points,Aaron Ekblad,0.5,1.78,1.92,Neds
Florida Panthers v Buffalo Sabres,Player Points,Aleksander Barkov,1.5,2.45,1.48,Neds
Florida Panthers v Buffalo Sabres,Player Points,Alex Tuch,0.5,1.73,1.98,Neds
Florida Panthers v Buffalo Sabres,Player Points,Anton Lundell,0.5,1.98,1.73,Neds
Florida Panthers v Buffalo Sabres,Player Points,Bowen Byram,0.5,3,1.33,Neds
Florida Panthers v Buffalo Sabres,Player Points,Carter Verhaeghe,0.5,1.6800000000000002,2.05,Neds
Florida Panthers v Buffalo Sabres,Player Points,Evan Rodrigues,0.5,2.25,1.5699999999999998,Neds
Florida Panthers v Buffalo Sabres,Player Points,JJ Peterka,0.5,1.67,2.1,Neds
Florida Panthers v Buffalo Sabres,Player Points,Jiri Kulich,0.5,2.6,1.44,Neds
Florida Panthers v Buffalo Sabres,Player Points,Josh Norris,0.5,2.25,1.5699999999999998,Neds
Florida Panthers v Buffalo Sabres,Player Points,Mackie Samoskevich,0.5,1.92,1.78,Neds
Florida Panthers v Buffalo Sabres,Player Points,Owen Power,0.5,2.9,1.3599999999999999,Neds
Florida Panthers v Buffalo Sabres,Player Points,Rasmus Dahlin,0.5,1.75,1.96,Neds
Florida Panthers v Buffalo Sabres,Player Points,Sam Bennett,0.5,1.6,2.2,Neds
Florida Panthers v Buffalo Sabres,Player Points,Sam Reinhart,1.5,2.7,1.42,Neds
Florida Panthers v Buffalo Sabres,Player Points,Seth Jones,0.5,2.1,1.6400000000000001,Neds
Florida Panthers v Buffalo Sabres,Player Points,Tage Thompson,0.5,1.6400000000000001,2.1,Neds
