match,market_name,player_name,line,over_price,under_price,agency
Anaheim Ducks v New York Islanders,Player Shots on Goal,Adam Pelech,1.5,1.8199999999999998,1.88,Neds
Anaheim Ducks v New York Islanders,Player Shots on Goal,Alex Killorn,1.5,1.8,1.9100000000000001,Neds
Anaheim Ducks v New York Islanders,Player Shots on Goal,Anders Lee,2.5,2.02,1.7,Neds
Anaheim Ducks v New York Islanders,Player Shots on Goal,Cutter Gauthier,1.5,1.7,2.05,Neds
Anaheim Ducks v New York Islanders,Player Shots on Goal,Frank Vatrano,2.5,1.73,2,Neds
Anaheim Ducks v New York Islanders,Player Shots on Goal,Jackson LaCombe,1.5,1.77,1.94,Neds
Anaheim Ducks v New York Islanders,Player Shots on Goal,Kyle Palmieri,2.5,2.2,1.6,Neds
Anaheim Ducks v New York Islanders,Player Shots on Goal,Mason McTavish,1.5,1.5,2.4,Neds
Anaheim Ducks v New York Islanders,Player Shots on Goal,Noah Dobson,2.5,1.94,1.77,Neds
Anaheim Ducks v New York Islanders,Player Shots on Goal,Ryan Strome,1.5,1.87,1.85,Neds
Anaheim Ducks v New York Islanders,Player Shots on Goal,Tony DeAngelo,1.5,1.7,2.02,Neds
Anaheim Ducks v New York Islanders,Player Shots on Goal,Trevor Zegras,1.5,1.6400000000000001,2.1,Neds
Anaheim Ducks v New York Islanders,Player Shots on Goal,Troy Terry,1.5,1.55,2.3,Neds
Carolina Hurricanes v Winnipeg Jets,Player Shots on Goal,Andrei Svechnikov,2.5,2,1.73,Neds
Carolina Hurricanes v Winnipeg Jets,Player Shots on Goal,Brent Burns,1.5,1.5,2.4,Neds
Carolina Hurricanes v Winnipeg Jets,Player Shots on Goal,Gabe Vilardi,1.5,1.9100000000000001,1.8,Neds
Carolina Hurricanes v Winnipeg Jets,Player Shots on Goal,Josh Morrissey,1.5,1.62,2.15,Neds
Carolina Hurricanes v Winnipeg Jets,Player Shots on Goal,Kyle Connor,2.5,1.77,1.94,Neds
Carolina Hurricanes v Winnipeg Jets,Player Shots on Goal,Logan Stankoven,1.5,1.53,2.35,Neds
Carolina Hurricanes v Winnipeg Jets,Player Shots on Goal,Mark Scheifele,1.5,1.7,2.05,Neds
Carolina Hurricanes v Winnipeg Jets,Player Shots on Goal,Neal Pionk,1.5,1.94,1.77,Neds
Carolina Hurricanes v Winnipeg Jets,Player Shots on Goal,Nikolaj Ehlers,2.5,2.1,1.67,Neds
Carolina Hurricanes v Winnipeg Jets,Player Shots on Goal,Nino Niederreiter,1.5,2.1,1.67,Neds
Carolina Hurricanes v Winnipeg Jets,Player Shots on Goal,Sebastian Aho,2.5,1.77,1.94,Neds
Carolina Hurricanes v Winnipeg Jets,Player Shots on Goal,Seth Jarvis,2.5,2.15,1.62,Neds
Carolina Hurricanes v Winnipeg Jets,Player Shots on Goal,Shayne Gostisbehere,1.5,1.88,1.8199999999999998,Neds
Carolina Hurricanes v Winnipeg Jets,Player Shots on Goal,Taylor Hall,1.5,1.8,1.9100000000000001,Neds
Minnesota Wild v Pittsburgh Penguins,Player Shots on Goal,Bryan Rust,2.5,2.05,1.7,Neds
Minnesota Wild v Pittsburgh Penguins,Player Shots on Goal,Erik Karlsson,2.5,2.25,1.58,Neds
Minnesota Wild v Pittsburgh Penguins,Player Shots on Goal,Evgeni Malkin,1.5,1.83,1.87,Neds
Minnesota Wild v Pittsburgh Penguins,Player Shots on Goal,Kevin Hayes,1.5,1.55,2.3,Neds
Minnesota Wild v Pittsburgh Penguins,Player Shots on Goal,Kris Letang,1.5,1.6400000000000001,2.1,Neds
Minnesota Wild v Pittsburgh Penguins,Player Shots on Goal,Marco Rossi,1.5,1.77,1.94,Neds
Minnesota Wild v Pittsburgh Penguins,Player Shots on Goal,Marcus Johansson,1.5,1.87,1.85,Neds
Minnesota Wild v Pittsburgh Penguins,Player Shots on Goal,Mats Zuccarello,2.5,2.35,1.53,Neds
Minnesota Wild v Pittsburgh Penguins,Player Shots on Goal,Matt Boldy,3.5,2.05,1.7,Neds
Minnesota Wild v Pittsburgh Penguins,Player Shots on Goal,Rickard Rakell,2.5,1.98,1.73,Neds
Minnesota Wild v Pittsburgh Penguins,Player Shots on Goal,Ryan Hartman,1.5,1.53,2.35,Neds
Minnesota Wild v Pittsburgh Penguins,Player Shots on Goal,Sidney Crosby,2.5,1.87,1.85,Neds
Minnesota Wild v Pittsburgh Penguins,Player Shots on Goal,Vinnie Hinostroza,1.5,1.77,1.94,Neds
New York Rangers v Columbus Blue Jackets,Player Shots on Goal,Adam Fantilli,2.5,2.05,1.7,Neds
New York Rangers v Columbus Blue Jackets,Player Shots on Goal,Alexis Lafreniere,1.5,1.5699999999999998,2.25,Neds
New York Rangers v Columbus Blue Jackets,Player Shots on Goal,Artemi Panarin,3.5,2.02,1.7,Neds
New York Rangers v Columbus Blue Jackets,Player Shots on Goal,Boone Jenner,1.5,1.5,2.4,Neds
New York Rangers v Columbus Blue Jackets,Player Shots on Goal,Chris Kreider,2.5,2.35,1.53,Neds
New York Rangers v Columbus Blue Jackets,Player Shots on Goal,Dmitri Voronkov,1.5,1.62,2.15,Neds
New York Rangers v Columbus Blue Jackets,Player Shots on Goal,J.T. Miller,1.5,1.53,2.35,Neds
New York Rangers v Columbus Blue Jackets,Player Shots on Goal,Mika Zibanejad,2.5,2.02,1.7,Neds
New York Rangers v Columbus Blue Jackets,Player Shots on Goal,Vincent Trocheck,2.5,1.87,1.85,Neds
New York Rangers v Columbus Blue Jackets,Player Shots on Goal,Will Cuylle,1.5,1.62,2.15,Neds
New York Rangers v Columbus Blue Jackets,Player Shots on Goal,Yegor Chinakhov,1.5,1.75,1.96,Neds
New York Rangers v Columbus Blue Jackets,Player Shots on Goal,Zach Werenski,2.5,1.73,1.98,Neds
Philadelphia Flyers v New Jersey Devils,Player Shots on Goal,Jesper Bratt,1.5,1.55,2.3,Neds
Philadelphia Flyers v New Jersey Devils,Player Shots on Goal,Luke Hughes,1.5,1.87,1.85,Neds
Philadelphia Flyers v New Jersey Devils,Player Shots on Goal,Matvei Michkov,2.5,1.94,1.77,Neds
Philadelphia Flyers v New Jersey Devils,Player Shots on Goal,Nico Hischier,2.5,2.35,1.53,Neds
Philadelphia Flyers v New Jersey Devils,Player Shots on Goal,Owen Tippett,2.5,1.88,1.8199999999999998,Neds
Philadelphia Flyers v New Jersey Devils,Player Shots on Goal,Sean Couturier,1.5,1.78,1.92,Neds
Philadelphia Flyers v New Jersey Devils,Player Shots on Goal,Stefan Noesen,1.5,1.6400000000000001,2.1,Neds
Philadelphia Flyers v New Jersey Devils,Player Shots on Goal,Timo Meier,2.5,1.73,1.98,Neds
Philadelphia Flyers v New Jersey Devils,Player Shots on Goal,Travis Konecny,2.5,2.15,1.62,Neds
Philadelphia Flyers v New Jersey Devils,Player Shots on Goal,Tyson Foerster,1.5,1.62,2.15,Neds
Vancouver Canucks v Dallas Stars,Player Shots on Goal,Brock Boeser,1.5,1.62,2.15,Neds
Vancouver Canucks v Dallas Stars,Player Shots on Goal,Conor Garland,1.5,1.5,2.4,Neds
Vancouver Canucks v Dallas Stars,Player Shots on Goal,Elias Pettersson (1998),1.5,1.67,2.1,Neds
Vancouver Canucks v Dallas Stars,Player Shots on Goal,Filip Chytil,2.5,2.25,1.58,Neds
Vancouver Canucks v Dallas Stars,Player Shots on Goal,Jake DeBrusk,1.5,1.73,1.98,Neds
Vancouver Canucks v Dallas Stars,Player Shots on Goal,Jason Robertson,2.5,1.73,1.98,Neds
Vancouver Canucks v Dallas Stars,Player Shots on Goal,Mason Marchment,1.5,1.8,1.9100000000000001,Neds
Vancouver Canucks v Dallas Stars,Player Shots on Goal,Matt Duchene,1.5,1.8199999999999998,1.88,Neds
Vancouver Canucks v Dallas Stars,Player Shots on Goal,Mikael Granlund,1.5,2.05,1.6800000000000002,Neds
Vancouver Canucks v Dallas Stars,Player Shots on Goal,Mikko Rantanen,2.5,1.9100000000000001,1.8,Neds
Vancouver Canucks v Dallas Stars,Player Shots on Goal,Roope Hintz,1.5,1.62,2.15,Neds
Vancouver Canucks v Dallas Stars,Player Shots on Goal,Thomas Harley,1.5,1.6,2.2,Neds
Vegas Golden Knights v Los Angeles Kings,Player Shots on Goal,Adrian Kempe,2.5,1.85,1.87,Neds
Vegas Golden Knights v Los Angeles Kings,Player Shots on Goal,Alex Laferriere,1.5,1.52,2.4,Neds
Vegas Golden Knights v Los Angeles Kings,Player Shots on Goal,Alex Pietrangelo,1.5,2,1.73,Neds
Vegas Golden Knights v Los Angeles Kings,Player Shots on Goal,Jack Eichel,2.5,1.6400000000000001,2.1,Neds
Vegas Golden Knights v Los Angeles Kings,Player Shots on Goal,Kevin Fiala,2.5,1.85,1.87,Neds
Vegas Golden Knights v Los Angeles Kings,Player Shots on Goal,Mark Stone,1.5,1.62,2.15,Neds
Vegas Golden Knights v Los Angeles Kings,Player Shots on Goal,Noah Hanifin,1.5,1.6400000000000001,2.1,Neds
Vegas Golden Knights v Los Angeles Kings,Player Shots on Goal,Pavel Dorofeyev,2.5,1.9100000000000001,1.8,Neds
Vegas Golden Knights v Los Angeles Kings,Player Shots on Goal,Tomas Hertl,2.5,2.3,1.55,Neds
Vegas Golden Knights v Los Angeles Kings,Player Shots on Goal,Trevor Moore,1.5,1.67,2.1,Neds
Vegas Golden Knights v Los Angeles Kings,Player Shots on Goal,Warren Foegele,1.5,1.53,2.35,Neds
Washington Capitals v Seattle Kraken,Player Shots on Goal,Alex Ovechkin,3.5,1.73,1.98,Neds
Washington Capitals v Seattle Kraken,Player Shots on Goal,Aliaksei Protas,1.5,1.65,2.1,Neds
Washington Capitals v Seattle Kraken,Player Shots on Goal,Brandon Montour,2.5,2.05,1.7,Neds
Washington Capitals v Seattle Kraken,Player Shots on Goal,Connor McMichael,1.5,1.73,2,Neds
Washington Capitals v Seattle Kraken,Player Shots on Goal,Dylan Strome,1.5,1.73,1.98,Neds
Washington Capitals v Seattle Kraken,Player Shots on Goal,Eeli Tolvanen,1.5,1.77,1.94,Neds
