match,player_name,market_name,line,over_price,agency,under_price
Carolina Hurricanes v Winnipeg Jets,Andrei Svechnikov,Player Assists,0.5,2.6,Pinnacle,1.512
Carolina Hurricanes v Winnipeg Jets,Brent Burns,Player Assists,0.5,3.58,Pinnacle,1.311
Carolina Hurricanes v Winnipeg Jets,Cole Perfetti,Player Assists,0.5,3.9,Pinnacle,1.21
Carolina Hurricanes v Winnipeg Jets,Gabriel Vilardi,Player Assists,0.5,2.7,Pinnacle,1.416
Carolina Hurricanes v Winnipeg Jets,Jaccob Slavin,Player Assists,0.5,3.32,Pinnacle,1.273
Carolina Hurricanes v Winnipeg Jets,Jackson Blake,Player Assists,0.5,4.33,Pinnacle,1.232
Carolina Hurricanes v Winnipeg Jets,Jesperi Kotkaniemi,Player Assists,0.5,3.75,Pinnacle,1.214
Carolina Hurricanes v Winnipeg Jets,Josh Morrissey,Player Assists,0.5,2.13,Pinnacle,1.662
Carolina Hurricanes v Winnipeg Jets,Kyle Connor,Player Assists,0.5,1.98,Pinnacle,1.769
Carolina Hurricanes v Winnipeg Jets,Logan Stankoven,Player Assists,0.5,2.65,Pinnacle,1.416
Carolina Hurricanes v Winnipeg Jets,Mark Scheifele,Player Assists,0.5,2.14,Pinnacle,1.653
Carolina Hurricanes v Winnipeg Jets,Neal Pionk,Player Assists,0.5,3.3,Pinnacle,1.294
Carolina Hurricanes v Winnipeg Jets,Nikolaj Ehlers,Player Assists,0.5,2.38,Pinnacle,1.531
Carolina Hurricanes v Winnipeg Jets,Nino Niederreiter,Player Assists,0.5,4.56,Pinnacle,1.143
Carolina Hurricanes v Winnipeg Jets,Sebastian Aho,Player Assists,0.5,2.02,Pinnacle,1.735
Carolina Hurricanes v Winnipeg Jets,Seth Jarvis,Player Assists,0.5,2.6,Pinnacle,1.507
Carolina Hurricanes v Winnipeg Jets,Shayne Gostisbehere,Player Assists,0.5,2.45,Pinnacle,1.5
Carolina Hurricanes v Winnipeg Jets,Taylor Hall,Player Assists,0.5,3.9,Pinnacle,1.197
Carolina Hurricanes v Winnipeg Jets,Vladislav Namestnikov,Player Assists,0.5,3.7,Pinnacle,1.235
Minnesota Wild v Pittsburgh Penguins,Brock Faber,Player Assists,0.5,2.58,Pinnacle,1.45
Minnesota Wild v Pittsburgh Penguins,Bryan Rust,Player Assists,0.5,2.39,Pinnacle,1.526
Minnesota Wild v Pittsburgh Penguins,Erik Karlsson,Player Assists,0.5,2.38,Pinnacle,1.534
Minnesota Wild v Pittsburgh Penguins,Evgeni Malkin,Player Assists,0.5,3.02,Pinnacle,1.33
Minnesota Wild v Pittsburgh Penguins,Frederick Gaudreau,Player Assists,0.5,3.58,Pinnacle,1.235
Minnesota Wild v Pittsburgh Penguins,Gustav Nyquist,Player Assists,0.5,3.55,Pinnacle,1.239
Minnesota Wild v Pittsburgh Penguins,Jared Spurgeon,Player Assists,0.5,3,Pinnacle,1.344
Minnesota Wild v Pittsburgh Penguins,Kevin Hayes,Player Assists,0.5,4.12,Pinnacle,1.198
Minnesota Wild v Pittsburgh Penguins,Kris Letang,Player Assists,0.5,3.27,Pinnacle,1.281
Minnesota Wild v Pittsburgh Penguins,Marco Rossi,Player Assists,0.5,2.41,Pinnacle,1.515
Minnesota Wild v Pittsburgh Penguins,Marcus Johansson,Player Assists,0.5,3.6,Pinnacle,1.25
Minnesota Wild v Pittsburgh Penguins,Mats Zuccarello,Player Assists,0.5,2.23,Pinnacle,1.606
Minnesota Wild v Pittsburgh Penguins,Matt Boldy,Player Assists,0.5,2.03,Pinnacle,1.729
Minnesota Wild v Pittsburgh Penguins,Matt Grzelcyk,Player Assists,0.5,3.52,Pinnacle,1.243
