match,player_name,market_name,line,over_price,agency,under_price
Colorado Avalanche v Calgary Flames,Artturi Lehkonen,Player Goals,0.5,3.5,Pinnacle,1.263
Colorado Avalanche v Calgary Flames,Blake Coleman,Player Goals,0.5,4.45,Pinnacle,1.149
Colorado Avalanche v Calgary Flames,Brock Nelson,Player Goals,0.5,3.75,Pinnacle,1.214
Colorado Avalanche v Calgary Flames,Cale Makar,Player Goals,0.5,3.65,Pinnacle,1.225
Colorado Avalanche v Calgary Flames,Joel Farabee,Player Goals,0.5,5,Pinnacle,1.117
Colorado Avalanche v Calgary Flames,Jonathan Drouin,Player Goals,0.5,3.43,Pinnacle,1.256
Colorado Avalanche v Calgary Flames,Jonathan Huberdeau,Player Goals,0.5,3.66,Pinnacle,1.225
Colorado Avalanche v Calgary Flames,Martin Necas,Player Goals,0.5,3.1,Pinnacle,1.322
Colorado Avalanche v Calgary Flames,Matt Coronato,Player Goals,0.5,4,Pinnacle,1.263
Colorado Avalanche v Calgary Flames,Morgan Frost,Player Goals,0.5,4.5,Pinnacle,1.166
Colorado Avalanche v Calgary Flames,Nathan MacKinnon,Player Goals,0.5,2.15,Pinnacle,1.645
Colorado Avalanche v Calgary Flames,Nazem Kadri,Player Goals,0.5,2.59,Pinnacle,1.446
Colorado Avalanche v Calgary Flames,Ross Colton,Player Goals,0.5,5.02,Pinnacle,1.116
Colorado Avalanche v Calgary Flames,Valeri Nichushkin,Player Goals,0.5,2.67,Pinnacle,1.429
Colorado Avalanche v Calgary Flames,Yegor Sharangovich,Player Goals,0.5,4.87,Pinnacle,1.124
New Jersey Devils v Minnesota Wild,Dawson Mercer,Player Goals,0.5,4.21,Pinnacle,1.234
New Jersey Devils v Minnesota Wild,Erik Haula,Player Goals,0.5,4.66,Pinnacle,1.136
New Jersey Devils v Minnesota Wild,Frederick Gaudreau,Player Goals,0.5,5.07,Pinnacle,1.113
New Jersey Devils v Minnesota Wild,Jesper Bratt,Player Goals,0.5,3.48,Pinnacle,1.249
New Jersey Devils v Minnesota Wild,Marco Rossi,Player Goals,0.5,4.15,Pinnacle,1.174
New Jersey Devils v Minnesota Wild,Marcus Johansson,Player Goals,0.5,4.97,Pinnacle,1.118
New Jersey Devils v Minnesota Wild,Mats Zuccarello,Player Goals,0.5,4.03,Pinnacle,1.185
New Jersey Devils v Minnesota Wild,Matt Boldy,Player Goals,0.5,3.11,Pinnacle,1.31
New Jersey Devils v Minnesota Wild,Nico Hischier,Player Goals,0.5,2.5,Pinnacle,1.454
New Jersey Devils v Minnesota Wild,Ryan Hartman,Player Goals,0.5,4.28,Pinnacle,1.163
New Jersey Devils v Minnesota Wild,Stefan Noesen,Player Goals,0.5,4.1,Pinnacle,1.2
New Jersey Devils v Minnesota Wild,Timo Meier,Player Goals,0.5,2.7,Pinnacle,1.411
Philadelphia Flyers v Nashville Predators,Bobby Brink,Player Goals,0.5,4.73,Pinnacle,1.132
Philadelphia Flyers v Nashville Predators,Matvei Michkov,Player Goals,0.5,2.6,Pinnacle,1.434
Philadelphia Flyers v Nashville Predators,Noah Cates,Player Goals,0.5,4.76,Pinnacle,1.13
Philadelphia Flyers v Nashville Predators,Owen Tippett,Player Goals,0.5,3.97,Pinnacle,1.19
Philadelphia Flyers v Nashville Predators,Ryan Poehling,Player Goals,0.5,4.88,Pinnacle,1.123
Philadelphia Flyers v Nashville Predators,Sean Couturier,Player Goals,0.5,3.63,Pinnacle,1.228
Philadelphia Flyers v Nashville Predators,Travis Konecny,Player Goals,0.5,3,Pinnacle,1.333
Philadelphia Flyers v Nashville Predators,Tyson Foerster,Player Goals,0.5,3.63,Pinnacle,1.29
Seattle Kraken v Dallas Stars,Andre Burakovsky,Player Goals,0.5,4.96,Pinnacle,1.119
Seattle Kraken v Dallas Stars,Eeli Tolvanen,Player Goals,0.5,4.83,Pinnacle,1.125
Seattle Kraken v Dallas Stars,Jaden Schwartz,Player Goals,0.5,3.6,Pinnacle,1.232
Seattle Kraken v Dallas Stars,Jamie Benn,Player Goals,0.5,4.58,Pinnacle,1.141
Seattle Kraken v Dallas Stars,Jani Nyman,Player Goals,0.5,4.7,Pinnacle,1.21
Seattle Kraken v Dallas Stars,Jared McCann,Player Goals,0.5,3.6,Pinnacle,1.25
Seattle Kraken v Dallas Stars,Jason Robertson,Player Goals,0.5,2.55,Pinnacle,1.454
Seattle Kraken v Dallas Stars,Jordan Eberle,Player Goals,0.5,4.49,Pinnacle,1.147
Seattle Kraken v Dallas Stars,Kaapo Kakko,Player Goals,0.5,4.42,Pinnacle,1.152
Seattle Kraken v Dallas Stars,Mason Marchment,Player Goals,0.5,3.8,Pinnacle,1.208
Seattle Kraken v Dallas Stars,Matt Duchene,Player Goals,0.5,3.6,Pinnacle,1.256
Seattle Kraken v Dallas Stars,Matty Beniers,Player Goals,0.5,3.8,Pinnacle,1.208
Seattle Kraken v Dallas Stars,Mikael Granlund,Player Goals,0.5,4.2,Pinnacle,1.169
Seattle Kraken v Dallas Stars,Mikko Rantanen,Player Goals,0.5,2.63,Pinnacle,1.432
Seattle Kraken v Dallas Stars,Roope Hintz,Player Goals,0.5,3.06,Pinnacle,1.32
Seattle Kraken v Dallas Stars,Shane Wright,Player Goals,0.5,5.47,Pinnacle,1.163
Seattle Kraken v Dallas Stars,Wyatt Johnston,Player Goals,0.5,2.75,Pinnacle,1.454
