match,player_name,market_name,line,over_price,agency,under_price
Colorado Avalanche v Calgary Flames,Artturi Lehkonen,Player Points,0.5,1.877,Pinnacle,1.854
Colorado Avalanche v Calgary Flames,Blake Coleman,Player Points,0.5,2.62,Pinnacle,1.436
Colorado Avalanche v Calgary Flames,Brock Nelson,Player Points,0.5,1.917,Pinnacle,1.813
Colorado Avalanche v Calgary Flames,Cale Makar,Player Points,1.5,2.8,Pinnacle,1.384
Colorado Avalanche v Calgary Flames,Devon Toews,Player Points,0.5,2.12,Pinnacle,1.666
Colorado Avalanche v Calgary Flames,Jonathan Drouin,Player Points,0.5,1.512,Pinnacle,2.42
Colorado Avalanche v Calgary Flames,Jonathan Huberdeau,Player Points,0.5,1.775,Pinnacle,1.961
Colorado Avalanche v Calgary Flames,MacKenzie Weegar,Player Points,0.5,2.09,Pinnacle,1.684
Colorado Avalanche v Calgary Flames,Martin Necas,Player Points,0.5,1.454,Pinnacle,2.55
Colorado Avalanche v Calgary Flames,Matt Coronato,Player Points,0.5,2.16,Pinnacle,1.625
Colorado Avalanche v Calgary Flames,Morgan Frost,Player Points,0.5,2.21,Pinnacle,1.613
Colorado Avalanche v Calgary Flames,Nathan MacKinnon,Player Points,1.5,2.07,Pinnacle,1.699
Colorado Avalanche v Calgary Flames,Nazem Kadri,Player Points,0.5,1.54,Pinnacle,2.36
Colorado Avalanche v Calgary Flames,Rasmus Andersson,Player Points,0.5,2.79,Pinnacle,1.386
Colorado Avalanche v Calgary Flames,Valeri Nichushkin,Player Points,0.5,1.512,Pinnacle,2.41
Colorado Avalanche v Calgary Flames,Yegor Sharangovich,Player Points,0.5,2.68,Pinnacle,1.416
New Jersey Devils v Minnesota Wild,Brock Faber,Player Points,0.5,2.67,Pinnacle,1.42
New Jersey Devils v Minnesota Wild,Dawson Mercer,Player Points,0.5,2.22,Pinnacle,1.609
New Jersey Devils v Minnesota Wild,Erik Haula,Player Points,0.5,2.61,Pinnacle,1.438
New Jersey Devils v Minnesota Wild,Frederick Gaudreau,Player Points,0.5,2.66,Pinnacle,1.423
New Jersey Devils v Minnesota Wild,Jared Spurgeon,Player Points,0.5,2.86,Pinnacle,1.432
New Jersey Devils v Minnesota Wild,Jesper Bratt,Player Points,0.5,1.357,Pinnacle,2.9
New Jersey Devils v Minnesota Wild,Luke Hughes,Player Points,0.5,1.8,Pinnacle,1.934
New Jersey Devils v Minnesota Wild,Marco Rossi,Player Points,0.5,1.925,Pinnacle,1.806
New Jersey Devils v Minnesota Wild,Marcus Johansson,Player Points,0.5,2.55,Pinnacle,1.462
New Jersey Devils v Minnesota Wild,Mats Zuccarello,Player Points,0.5,1.925,Pinnacle,1.806
New Jersey Devils v Minnesota Wild,Matt Boldy,Player Points,0.5,1.606,Pinnacle,2.21
New Jersey Devils v Minnesota Wild,Nico Hischier,Player Points,0.5,1.476,Pinnacle,2.5
New Jersey Devils v Minnesota Wild,Ryan Hartman,Player Points,0.5,2.45,Pinnacle,1.497
New Jersey Devils v Minnesota Wild,Stefan Noesen,Player Points,0.5,2.21,Pinnacle,1.606
New Jersey Devils v Minnesota Wild,Timo Meier,Player Points,0.5,1.675,Pinnacle,2.1
Philadelphia Flyers v Nashville Predators,Bobby Brink,Player Points,0.5,2.15,Pinnacle,1.645
Philadelphia Flyers v Nashville Predators,Brady Skjei,Player Points,0.5,2.39,Pinnacle,1.523
Philadelphia Flyers v Nashville Predators,Filip Forsberg,Player Points,0.5,1.465,Pinnacle,2.53
Philadelphia Flyers v Nashville Predators,Jamie Drysdale,Player Points,0.5,2.75,Pinnacle,1.396
Philadelphia Flyers v Nashville Predators,Luke Evangelista,Player Points,0.5,2.3,Pinnacle,1.561
Philadelphia Flyers v Nashville Predators,Matvei Michkov,Player Points,0.5,1.555,Pinnacle,2.31
Philadelphia Flyers v Nashville Predators,Michael Bunting,Player Points,0.5,2.21,Pinnacle,1.613
