match,market_name,home_team,home_win,away_team,away_win,margin,agency
Buffalo Sabres v Nashville Predators,Head To Head,Buffalo Sabres,2.03,Nashville Predators,1.79,1.051,Sportsbet
Dallas Stars v Vancouver Canucks,Head To Head,Dallas Stars,1.58,Vancouver Canucks,2.39,1.051,Sportsbet
Utah Hockey Club v Columbus Blue Jackets,Head To Head,Utah Hockey Club,1.45,Columbus Blue Jackets,2.76,1.052,Sportsbet
Colorado Avalanche v St. Louis Blues,Head To Head,Colorado Avalanche,1.51,St. Louis Blues,2.57,1.051,Sportsbet
Florida Panthers v Chicago Blackhawks,Head To Head,Florida Panthers,1.23,Chicago Blackhawks,4.2,1.051,Sportsbet
Boston Bruins v New York Rangers,Head To Head,Boston Bruins,1.87,New York Rangers,1.92,1.056,Sportsbet
Carolina Hurricanes v Los Angeles Kings,Head To Head,Carolina Hurricanes,1.57,Los Angeles Kings,2.41,1.052,Sportsbet
Edmonton Oilers v Toronto Maple Leafs,Head To Head,Edmonton Oilers,1.62,Toronto Maple Leafs,2.3,1.052,Sportsbet
Washington Capitals v Winnipeg Jets,Head To Head,Washington Capitals,1.86,Winnipeg Jets,1.94,1.053,Sportsbet
Tampa Bay Lightning v New York Islanders,Head To Head,Tampa Bay Lightning,1.56,New York Islanders,2.44,1.051,Sportsbet
Ottawa Senators v Minnesota Wild,Head To Head,Ottawa Senators,1.67,Minnesota Wild,2.22,1.049,Sportsbet
Pittsburgh Penguins v Nashville Predators,Head To Head,Pittsburgh Penguins,1.89,Nashville Predators,1.91,1.053,Sportsbet
Calgary Flames v Detroit Red Wings,Head To Head,Calgary Flames,1.8,Detroit Red Wings,2.01,1.053,Sportsbet
