match,home_team,away_team,market_name,player_name,line,over_price,under_price,agency
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Brady Skjei,1.5,1.65,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Filip Forsberg,1.5,1.13,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Jonathan Marchessault,1.5,1.25,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Ryan O'Reilly,1.5,1.68,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Steven Stamkos,1.5,1.46,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Charlie Coyle,1.5,1.89,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,David Pastrnak,1.5,1.05,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Elias Lindholm,1.5,1.44,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Mason Lohrei,1.5,1.92,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Morgan Geekie,1.5,1.36,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Filip Forsberg,2.5,1.42,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Jonathan Marchessault,2.5,1.81,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Steven Stamkos,2.5,2.5,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Brady Skjei,2.5,3.1,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Ryan O'Reilly,2.5,3.24,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,David Pastrnak,2.5,1.2,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Elias Lindholm,2.5,2.4,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Morgan Geekie,2.5,2.23,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Charlie Coyle,2.5,4,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Mason Lohrei,2.5,4,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Filip Forsberg,4.5,3.45,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Jonathan Marchessault,4.5,5.4,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Steven Stamkos,4.5,9.5,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Brady Skjei,4.5,12,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Ryan O'Reilly,4.5,12,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,David Pastrnak,4.5,2.22,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Morgan Geekie,4.5,8,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Elias Lindholm,4.5,9.5,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Mason Lohrei,4.5,14,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Charlie Coyle,4.5,15,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Filip Forsberg,3.5,2.1,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Jonathan Marchessault,3.5,3.1,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Steven Stamkos,3.5,4.8,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Brady Skjei,3.5,6,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Ryan O'Reilly,3.5,6,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,David Pastrnak,3.5,1.51,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Elias Lindholm,3.5,4.65,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Morgan Geekie,3.5,4.2,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Charlie Coyle,3.5,8.5,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Mason Lohrei,3.5,8.5,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Filip Forsberg,5.5,6,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Jonathan Marchessault,5.5,10,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Steven Stamkos,5.5,15,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Brady Skjei,5.5,41,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Ryan O'Reilly,5.5,41,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,David Pastrnak,5.5,3.45,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Morgan Geekie,5.5,13,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Elias Lindholm,5.5,14,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Brady Skjei,0.5,1.13,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Filip Forsberg,0.5,1.01,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Jonathan Marchessault,0.5,1.03,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Ryan O'Reilly,0.5,1.13,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Steven Stamkos,0.5,1.08,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Charlie Coyle,0.5,1.17,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,David Pastrnak,0.5,1.002,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Elias Lindholm,0.5,1.08,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Mason Lohrei,0.5,1.17,NA,Sportsbet
Boston Bruins v Nashville Predators,Boston Bruins,Nashville Predators,Player Shots on Goal,Morgan Geekie,0.5,1.06,NA,Sportsbet
Detroit Red Wings v Carolina Hurricanes,Detroit Red Wings,Carolina Hurricanes,Player Shots on Goal,Mikko Rantanen,2.5,1.79,NA,Sportsbet
Detroit Red Wings v Carolina Hurricanes,Detroit Red Wings,Carolina Hurricanes,Player Shots on Goal,Sebastian Aho (CAR),2.5,1.88,NA,Sportsbet
Detroit Red Wings v Carolina Hurricanes,Detroit Red Wings,Carolina Hurricanes,Player Shots on Goal,Andrei Svechnikov,2.5,2.12,NA,Sportsbet
Detroit Red Wings v Carolina Hurricanes,Detroit Red Wings,Carolina Hurricanes,Player Shots on Goal,Brent Burns,2.5,2.33,NA,Sportsbet
Detroit Red Wings v Carolina Hurricanes,Detroit Red Wings,Carolina Hurricanes,Player Shots on Goal,Seth Jarvis,2.5,2.24,NA,Sportsbet
Detroit Red Wings v Carolina Hurricanes,Detroit Red Wings,Carolina Hurricanes,Player Shots on Goal,Alex DeBrincat,2.5,1.81,NA,Sportsbet
Detroit Red Wings v Carolina Hurricanes,Detroit Red Wings,Carolina Hurricanes,Player Shots on Goal,Dylan Larkin,2.5,1.73,NA,Sportsbet
Detroit Red Wings v Carolina Hurricanes,Detroit Red Wings,Carolina Hurricanes,Player Shots on Goal,Lucas Raymond,2.5,2.56,NA,Sportsbet
Detroit Red Wings v Carolina Hurricanes,Detroit Red Wings,Carolina Hurricanes,Player Shots on Goal,Patrick Kane,2.5,2.29,NA,Sportsbet
Detroit Red Wings v Carolina Hurricanes,Detroit Red Wings,Carolina Hurricanes,Player Shots on Goal,Mikko Rantanen,3.5,3.06,NA,Sportsbet
Detroit Red Wings v Carolina Hurricanes,Detroit Red Wings,Carolina Hurricanes,Player Shots on Goal,Sebastian Aho (CAR),3.5,3.32,NA,Sportsbet
Detroit Red Wings v Carolina Hurricanes,Detroit Red Wings,Carolina Hurricanes,Player Shots on Goal,Andrei Svechnikov,3.5,4,NA,Sportsbet
Detroit Red Wings v Carolina Hurricanes,Detroit Red Wings,Carolina Hurricanes,Player Shots on Goal,Brent Burns,3.5,4.6,NA,Sportsbet
Detroit Red Wings v Carolina Hurricanes,Detroit Red Wings,Carolina Hurricanes,Player Shots on Goal,Seth Jarvis,3.5,4.25,NA,Sportsbet
